集装箱及金属包装容器制造	102111113	102915000	3
金属丝绳及其制品制造	102111114	102915000	3
建筑、安全用金属制品制造	102111115	102915000	3
金属表面处理及热处理加工	102111116	102915000	3
搪瓷制品制造	102111117	102915000	3
金属制日用品制造	102111118	102915000	3
其他金属制品制造	102111119	102915000	3
锅炉及原动设备制造	102112100	102916000	3
金属加工机械制造	102112101	102916000	3
物料搬运设备制造	102112102	102916000	3
泵、阀门、压缩机及类似机械制造	102112103	102916000	3
轴承、齿轮和传动部件制造	102112104	102916000	3
烘炉、风机、衡器、包装等设备制造	102112105	102916000	3
文化、办公用机械制造	102112106	102916000	3
通用零部件制造	102112107	102916000	3
其他通用设备制造业	102112108	102916000	3
采矿、冶金、建筑专用设备制造	102112109	102917000	3
化工、木材、非金属加工专用设备制造	102112110	102917000	3
食品、饮料、烟草及饲料生产专用设备制造	102112111	102917000	3
印刷、制药、日化及日用品生产专用设备制造	102112112	102917000	3
纺织、服装和皮革加工专用设备制造	102112113	102917000	3
电子和电工机械专用设备制造	102112114	102917000	3
农、林、牧、渔专用机械制造	102112115	102917000	3
医疗仪器设备及器械制造	102112116	102917000	3
环保、社会公共服务及其他专用设备制造	102112117	102917000	3
汽车整车制造	102113100	102918000	3
改装汽车制造	102113101	102918000	3
低速载货汽车制造	102113102	102918000	3
电车制造	102113103	102918000	3
汽车车身、挂车制造	102113104	102918000	3
汽车零部件及配件制造	102113105	102918000	3
铁路运输设备制造	102113106	102919000	3
城市轨道交通设备制造	102113107	102919000	3
船舶及相关装置制造	102113108	102919000	3
航空、航天器及设备制造	102113109	102919000	3
摩托车制造	102113110	102919000	3
自行车制造	102113111	102919000	3
非公路休闲车及零配件制造	102113112	102919000	3
潜水救捞及其他未列明运输设备制造	102113113	102919000	3
电机制造	102114100	102920000	3
输配电及控制设备制造	102114101	102920000	3
电线、电缆、光缆及电工器材制造	102114102	102920000	3
电池制造	102114103	102920000	3
家用电力器具制造	102114104	102920000	3
非电力家用器具制造	102114105	102920000	3
照明器具制造	102114106	102920000	3
其他电气机械及器材制造	102114107	102920000	3
计算机制造	102114108	102921000	3
通信设备制造	102114109	102921000	3
广播电视设备制造	102114110	102921000	3
雷达及配套设备制造	102114111	102921000	3
视听设备制造	102114112	102921000	3
电子器件制造	102114113	102921000	3
电子元件制造	102114114	102921000	3
其他电子设备制造	102114115	102921000	3
通用仪器仪表制造	102114116	102922000	3
专用仪器仪表制造	102114117	102922000	3
钟表与计时仪器制造	102114118	102922000	3
光学仪器及眼镜制造	102114119	102922000	3
其他仪器仪表制造业	102114120	102922000	3
日用杂品制造	102115100	102115000	3
煤制品制造	102115101	102115000	3
核辐射加工	102115102	102115000	3
其他未列明制造业	102115103	102115000	3
金属废料和碎屑加工处理	102116100	102116000	3
非金属废料和碎屑加工处理	102116101	102116000	3
金属制品修理	102117100	102117000	3
通用设备修理	102117101	102117000	3
专用设备修理	102117102	102117000	3
铁路、船舶、航空航天等运输设备修理	102117103	102117000	3
电气设备修理	102117104	102117000	3
仪器仪表修理	102117105	102117000	3
其他机械和设备修理业	102117106	102117000	3
电力生产	103100100	103900000	3
电力供应	103100101	103900000	3
热力生产和供应	103100102	103900000	3
燃气生产和供应业	103100103	103901000	3
自来水生产和供应	103100104	103902000	3
污水处理及其再生利用	103100105	103902000	3
其他水的处理、利用与分配	103100106	103902000	3
房屋建筑业	104100100	104900000	3
铁路、道路、隧道和桥梁工程建筑	104100101	104901000	3
水利和内河港口工程建筑	104100102	104901000	3
海洋工程建筑	104100103	104901000	3
工矿工程建筑	104100104	104901000	3
架线和管道工程建筑	104100105	104901000	3
其他土木工程建筑	104100106	104901000	3
电气安装	104100107	104902000	3
管道和设备安装	104100108	104902000	3
其他建筑安装业	104100109	104902000	3
建筑装饰业	104100110	104903000	3
工程准备活动	104100111	104903000	3
提供施工设备服务	104100112	104903000	3
其他未列明建筑业	104100113	104903000	3
农、林、牧产品批发	105100100	105100000	3
食品、饮料及烟草制品批发	105100101	105100000	3
纺织、服装及家庭用品批发	105100102	105100000	3
文化、体育用品及器材批发	105100103	105100000	3
医药及医疗器材批发	105100104	105100000	3
矿产品、建材及化工产品批发	105100105	105100000	3
机械设备、五金产品及电子产品批发	105100106	105100000	3
贸易经纪与代理	105100107	105100000	3
其他批发业	105100108	105100000	3
综合零售	105101100	105101000	3
食品、饮料及烟草制品专门零售	105101101	105101000	3
纺织、服装及日用品专门零售	105101102	105101000	3
文化、体育用品及器材专门零售	105101103	105101000	3
医药及医疗器材专门零售	105101104	105101000	3
汽车、摩托车、燃料及零配件专门零售	105101105	105101000	3
家用电器及电子产品专门零售	105101106	105101000	3
五金、家具及室内装饰材料专门零售	105101107	105101000	3
货摊、无店铺及其他零售业	105101108	105101000	3
铁路旅客运输	106100100	106900000	3
铁路货物运输	106100101	106900000	3
